Start Date;Start Time;End Date;End Time;EAN;Meter Nr;Metertype;Register;Volume;Unit;Validation Status
21-01-2025;01:45:00;21-01-2025;02:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;01:45:00;21-01-2025;02:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.022;kWh;Validated
21-01-2025;02:00:00;21-01-2025;02:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;02:00:00;21-01-2025;02:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.104;kWh;Validated
21-01-2025;02:15:00;21-01-2025;02:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;02:15:00;21-01-2025;02:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.028;kWh;Validated
21-01-2025;02:30:00;21-01-2025;02:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;02:30:00;21-01-2025;02:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.021;kWh;Validated
21-01-2025;02:45:00;21-01-2025;03:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;02:45:00;21-01-2025;03:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.021;kWh;Validated
21-01-2025;03:00:00;21-01-2025;03:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;03:00:00;21-01-2025;03:15:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.029;kWh;Validated
21-01-2025;03:15:00;21-01-2025;03:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;03:15:00;21-01-2025;03:30:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.021;kWh;Validated
21-01-2025;03:30:00;21-01-2025;03:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;03:30:00;21-01-2025;03:45:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.021;kWh;Validated
21-01-2025;03:45:00;21-01-2025;04:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak injection;0;kWh;Validated
21-01-2025;03:45:00;21-01-2025;04:00:00;541448920709923278;1SAG3200021865;Digital meter;Off-peak offtake;0.027;kWh;Validated
